Organism	Feature_A	Feature_B	Mutual_Information
Homo sapiens	freq_E	freq_I	0.1127
Homo sapiens	freq_E	freq_K	0.2347
Homo sapiens	freq_E	freq_L	0.1195
Homo sapiens	freq_E	freq_M	0.1822
Homo sapiens	freq_E	freq_N	0.1151
Homo sapiens	freq_E	freq_P	0.115
Homo sapiens	freq_E	freq_Q	0.1793
Homo sapiens	freq_E	freq_R	0.1417
Homo sapiens	freq_E	freq_S	0.0891
Homo sapiens	freq_E	freq_T	0.1278
Homo sapiens	freq_E	freq_V	0.1358
Homo sapiens	freq_E	freq_W	0.2071
Homo sapiens	freq_E	freq_Y	0.153
Homo sapiens	freq_F	freq_G	0.1315
Homo sapiens	freq_F	freq_H	0.2811
Homo sapiens	freq_F	freq_I	0.2725
Homo sapiens	freq_F	freq_K	0.1378
Homo sapiens	freq_F	freq_L	0.1127
Homo sapiens	freq_F	freq_M	0.3641
Homo sapiens	freq_F	freq_N	0.2519
Homo sapiens	freq_F	freq_P	0.205
Homo sapiens	freq_F	freq_Q	0.252
Homo sapiens	freq_F	freq_R	0.1834
Homo sapiens	freq_F	freq_S	0.1387
Homo sapiens	freq_F	freq_T	0.1752
Homo sapiens	freq_F	freq_V	0.1568
Homo sapiens	freq_F	freq_W	0.3564
Homo sapiens	freq_F	freq_Y	0.3641
Homo sapiens	freq_G	freq_H	0.1596
Homo sapiens	freq_G	freq_I	0.1543
Homo sapiens	freq_G	freq_K	0.1734
Homo sapiens	freq_G	freq_L	0.0948
Homo sapiens	freq_G	freq_M	0.2048
Homo sapiens	freq_G	freq_N	0.1745
Homo sapiens	freq_G	freq_P	0.1596
Homo sapiens	freq_G	freq_Q	0.1439
Homo sapiens	freq_G	freq_R	0.1095
Homo sapiens	freq_G	freq_S	0.0982
Homo sapiens	freq_G	freq_T	0.1297
Homo sapiens	freq_G	freq_V	0.1243
Homo sapiens	freq_G	freq_W	0.1841
Homo sapiens	freq_G	freq_Y	0.1607
Homo sapiens	freq_H	freq_I	0.257
Homo sapiens	freq_H	freq_K	0.1646
